Ransomware ,Company Name,Industry,Headquarters,Country,Date of attack,APAC? (Yes/No),Type of data leaked
Conti,McCloskey Mechanical Contractors,Construction,"Clementon, NJ",States,,No,Undisclosed
Conti,Joliet Park District,Government,"Joliet, IL",States,,No,Undisclosed
Conti,Yorkcontainer,Manufacturing,"York, PA",States,,No,Undisclosed
Conti,Landmarkresort hotel beach,Entertainment,"Virginia Beach, VA",States,,No,Computer Files
Conti,Marriott international inc,Hospitality,"Washington, D.C., United States",States,,No,Computer Files
Conti,"Hms Insurance Associates, Inc",Financial,"Hunt Valley, MD",States,,No,Computer Files
Conti,electric gas industries association inc,Utilities,"Marietta, GA",States,,No,Computer Files
Conti,Sice Inc,Technology,"Alcobendas, Spain",España,,No,Computer Files
Conti,Hershey Equipment Co Inc,Retail & Sales,"Lancaster, PA",States,,No,Computer Files
Conti,GAR Equipment,Manufacturing,"Columbus, WI",States,,No,Computer Files
Conti,Lhc Group Inc,Healthcare,"Lafayette, LA",States,,No,Computer Files
Conti,LF ILLUMINATION LLC,Manufacturing,"Chatsworth, CA",States,,No,Computer Files
Conti,Florida Chamber of Commerce,Essential Services,"Tallahassee, FL",States,,No,Computer Files
Conti,VIP Computers LLC,Technology,"Kent, WA",States,,No,Computer Files
Conti,LH EVANS,Retail & Sales,"Cardiff, United Kingdom",Kingdom,,No,Computer Files
Conti,Westland Horticulture,Manufacturing,"Dungannon, United Kingdom",Kingdom,,No,Computer Files
Conti,Peugeot Motocycles,Automotive,"Mandeure, France",France,,No,Computer Files
Conti,Temgroupinc,Utilities,"Kentucky, United States",States,,No,Computer Files
Conti,Visual Impressions,Retail & Sales,"Milwaukee, WI",States,,No,Computer Files
Conti,M3P Directional Services,Construction,"Midland, TX",States,,No,Computer Files
Conti,Aigües de Terrassa,Utilities,"Barcelona, Spain",España,,No,Computer Files
Conti,Precision Tandems Inc,Manufacturing,"Britton, SD",States,,No,Computer Files
Conti,National Wire Cable Corporation,Manufacturing,"Los Angeles, CA",States,,No,Computer Files
Conti,Ventura Orthopedics,Healthcare,"Ventura, CA",States,,No,Computer Files
Conti,The Volkswagen Group,Automotive,"Wolfsburg, Germany",Deutschland,,No,Computer Files
Conti,Pontotoc County Sheriffâ€™s Office,Government,"Pontotoc, MS",States,,No,Computer Files
Conti,Filtration Group,Manufacturing,"Oak Brook, IL",States,,No,Computer Files
Conti,Carbon Power and Light,Utilities,"Lehi, UT",States,,No,Computer Files
Conti,City of Rocky Mount,Essential Services,"Rocky Mount, NC",States,,No,Computer Files
Conti,QRG,Retail & Sales,"Minneapolis, MN",States,,No,Computer Files
Conti,Gestoria Auto Gestion,Construction,"Barcelona, Spain",España,,No,Computer Files
Conti,The Dobco Group,Construction,"Wayne, NJ",States,,No,Computer Files
Conti,Bruckner Truck Sales Inc,Automotive,"Amarillo, TX",States,,No,Computer Files
Conti,Johnbear,Automotive,"St. Catharines, Canada",Canada,,No,Computer Files
Conti,Marie Claire Boutiques,Retail & Sales,"Paris, France",France,,No,Computer Files
Conti,Sandream Impact LLC,Manufacturing,"Fairfield, NJ",States,,No,Computer Files
Conti,Soloptical,Retail & Sales,"Malagón, Spain",España,,No,Computer Files
